Ticket,P/E,Description
SBER,3.52,Сбербанк - факторы роста и падения акций  Сбербанк перешел на выплату дивидендов 50% от прибыли начиная с 2020 года Сбербанк вышел в прибыль в октябре 2022 года и может выплатить дивиденды уже в 2023 году Рекордная прибыль в 2023 году и ожидаемый рекордный дивиденд. Могут платить больше 50% от чистой прибыли. Высокий ROE и высокая достаточность капитала.  Замедление кредитования в стране снижает рост кредитного портфеля и соответственно процентных доходов Сбера. Рост процентных ставок может снизить чистую процентную маржу и соответственно прибыль Сбера в следующем году. Ипотека - основа розничного кредитного портфеля. Средние сроки ипотечного кредита в среднем выросли за последние год на 10 лет - вырос риск что со временем могут начаться проблемы с выплатой.
LKOH,3.97,Лукойл - факторы роста и падения акций  Стабильно растущие дивиденды + див. политика к-я предусматривает выплату 100% скорр. свободного денежного потока на дивиденды Дивидендная доходность Лукойла может быть самой высокой в нефтяном секторе Ходят слухи о том что Лукойл может выкупить свои акции у нерезидентов с дисконтом что впоследствии может увеличить дивиденд на акцию  Есть вероятность усиления налогового нажима на нефтяной сектор в 2024 году если власти сочтут положение нефтяных компаний слишком хорошим Основные владельцы компании в преклонном возрасте - неизвестно что будет с компанией через 10-20 лет (риск смены владельцев и отношения к акционерам)
TCSG,5.34,Т-Банк  Тинькофф  ТКС - факторы роста и падения акций  История роста постоянно растущие показатели Самая высокая рентабельность среди российских банков Доля некредитного бизнеса выше 50% - диверсификация и снижение риска Могут поставить рекорд по прибыли в 2023 году Страховой бизнес хорошо растет и уже входит в топ-10 в стране.  Банк стоит дороже остальных по мультипликаторам Рост кредитного портфеля в 2022 году замедлился - соответственно рост тоже Кипрская компания под санкциями. Дивиденды пока маловероятны Качество кредитного портфеля в 2022 году снизилось и пока не восстановилось до уровней 2021 года.
GAZP,-5.01,"Газпром - факторы роста и падения акций  Могут быть заключены новые контракты на поставку газа в Китай. Сейчас 38 млрд.м3 потенциал до 130 млрд.м3. Высокие цены на газ должны продержаться как минимум до 2024 года с учетом сокращения закупок российского газа со стороны Европы Компания владеет пакетами акций в Газпромнефти Газпромбанке Сахалине-2 и  НОВАТЭКе По отчету РСБУ за 2023г. активы Газпрома выросли на 2 трл.р.  Чистая прибыль = 695 млрд.р.  Чистые Активы Газпрома 175трл.р. при рыночной капитализации 38 трл.р.  недооценка к балансовой стоимости в 4 раза!  В долгосрочном плане угрозу для бизнеса представляет бурное развитие альтернативной энергетики. Есть проект Сила Сибири-2 емкостью 50 млрд м3 и стоимостью 1.5 трлн руб В 2022 компания может начать строительство новых трубопроводов например в Индию. РОСИМУЩЕСТВО ПОВЫСИЛО НДПИ ДЛЯ ГАЗПРОМА НА 2022 НА 1.24 ТРЛН РУБ А ТАКЖЕ ПРИНЯЛО РЕШЕНИЕ НЕ ВЫПЛАЧИВАТЬ ДИВИДЕНДЫ ЗА 2021 ГОД. КОМПАНИЯ ВПЕРВЫЕ С 1998 ГОДА НЕ ЗАПЛАТИЛА ДИВИДЕНДЫ И УЖЕ ВЫПЛАТИЛА ДИВИДЕНДЫ ЗА 1П 2022 ГОДА = 51 РУБ Поставки газа в Европу в 2023 году сократятся в 3 раза относительно пиковых значений 2018/19 года. Гер. Uniper подала иск на Газпром на сумму 116 млрд евро. В случае успеха это может вычесть из цены акций Газпрома около 20 руб на акцию. В конце 2024 г. истекает контракт на транзит газа через Украину что может означать потерю 15 млрд м3 (29% европейского экспорта)"
PLZL,12.9,Полюс - факторы роста и падения акций  Себестоимость добычи у Полюса - самая низкая в мире Стратегическая отрасль поэтому вероятно что Минфин не будет трогать золотодобытчиков чтобы сохранить им и прибыльность и возможность инвестировать в добычу Сухой Лог должен добавить чуть ли не 100% текущей добычи к 2025 году на пике там будет добываться 23-35 млн унций золота  Повышения дивидендов байбэков и прочих плюшек ожидать не стоит компания начнет осваивать Сухой Лог - все деньги туда Страны G7 планируют отказаться от российского золота. Непрозрачный выкуп с премией к рыночной цене у тех кто раньше подал заявку. Долговая нагрузка после выкупа может выйти за рамки когда по див. политике должны платить дивиденды.
YNDX,24.5,Яндекс - факторы роста и падения акций  Яндекс - одна из самых быстро растущих компаний российского рынка
AFKS,-5.41,АФК Система - факторы роста и падения акций  Одна из лучших компаний в плане отношения к миноритариям стремится к прозрачной дивидендной политике как в материнской так и в дочерних компаниях. Удачная конъюнктура рынка в 2021 году позволила Системе монетизировать свои разнообразные активы вывести на биржу OZON Сегежа. до 17 сентября 2022 года действует программа выкупа акций на 7 млрд рублей В 2022 году компания может провести IPO Медси Агрохолдинга Степь и Биннофарма что будет способствовать высвобождению акционерной стоимости АФК  уровень долговой нагрузки: за вычетом гудвила и прочих нематериальных активов собственный капитал системы составляет минус! 50млрд. ₽ (на 31.12.2021) при активах 17 трл. ₽.
MTLR,2.55,Мечел - факторы роста и падения акций  Активы Мечела лучше для экспорта угля. Якутуголь (42% добычи) расположен восточнее узких мест железной дороги. Мечел каждый год сокращает долг  Большая зависимость от цен на уголь Мечел может не платить дивиденды т.к. недостаточно СЧА по РСБУ У компании огромный долг чистые активы отрицательные
OZON,-7.65,OZON  ОЗОН - факторы роста и падения акций  Продажи OZON растут очень быстрыми темпами Рынок интернет-торговли стремительно растет Вышли в плюс по EBITDA  OZON за 20 лет существования не удалось выйти на прибыль и пока лишь предстоит доказать свою способность быть прибыльной компанией Большие темпы роста рынка требуют опережающих вложений в инфраструктуру расходы и инвестиции будут тянуть компанию в убыток еще минимум несколько лет. Поскольку в текущую капитализацию заложены очень высокие ожидания роста цена акций может быть очень волатильна особенно если в какой-то момент темпы роста продаж компании упадут или замедлятся.
VTBR,2.36,ВТБ - факторы роста и падения акций  Если ВТБ закончит мутить с непрофильными активами то  RoE банка вырастет С июля банк работает в прибыль убытки остались в 2022 году Допэмиссия должна решить все проблемы с достаточностью капитала. Дальше курс на восстановление прибыли. Купленные Открытие и РНКБ вместе зарабатывали 80 млрд руб. чп в 2021 году (+23% к ЧП ВТБ в 2021 году).  При подсчете рыночной капитализации ВТБ надо учитывать 520 млрд рублей на которые были выпущены привилегированные акции в пользу Минфина и ВТБ - эти акции на рынке не торгуются но ВТБ имеет обязательство платить по ним дивиденды Выплаты по префам ВТБ существенно влияют на див. доходность обычки. Участники рынка могут опасаться что повышение процентных ставок вызовет снижение спроса на кредиты со стороны физических лиц Банк пользуется всеми послаблениями ЦБ дивидендов здесь можно ожидать годами.
