date_time,holiday,temp,traffic_volume
2016-01-01 01:00:00,New Years Day,266.0,1550
2016-01-01 02:00:00,New Years Day,266.005,1134
2016-01-01 03:00:00,New Years Day,266.01,719
2016-01-01 04:00:00,New Years Day,264.8,533
2016-01-01 05:00:00,New Years Day,264.38,586
2016-01-01 06:00:00,New Years Day,263.99,809
2016-01-01 07:00:00,New Years Day,264.16,882
2016-01-01 08:00:00,New Years Day,264.8,1077
2016-01-01 09:00:00,New Years Day,265.76,1574
2016-01-01 10:00:00,New Years Day,267.61,2059
2016-01-01 11:00:00,New Years Day,268.52,2632
2016-01-01 12:00:00,New Years Day,269.43,3206
2016-01-01 13:00:00,New Years Day,271.77,3498
2016-01-01 14:00:00,New Years Day,271.98,3453
2016-01-01 15:00:00,New Years Day,271.95500000000004,3406
2016-01-01 16:00:00,New Years Day,271.93,3359
2016-01-01 17:00:00,New Years Day,270.66499999999996,3129
2016-01-01 18:00:00,New Years Day,269.4,2899
2016-01-01 19:00:00,New Years Day,268.525,2516
2016-01-01 20:00:00,New Years Day,267.65,2134
2016-01-01 21:00:00,New Years Day,266.52,1845
2016-01-01 22:00:00,New Years Day,266.015,1562
2016-01-01 23:00:00,New Years Day,265.51,1280
2016-01-02 00:00:00,None,265.19,956
2016-01-02 01:00:00,None,264.87,633
2016-01-02 02:00:00,None,263.58,655
2016-01-02 03:00:00,None,263.76,659
2016-01-02 04:00:00,None,263.24,378
2016-01-02 05:00:00,None,263.09,610
2016-01-02 06:00:00,None,263.14,1043
2016-01-02 07:00:00,None,263.39,1440
2016-01-02 08:00:00,None,264.19,1880
2016-01-02 09:00:00,None,264.99,2715
2016-01-02 10:00:00,None,267.69,3153
2016-01-02 11:00:00,None,268.755,3694
2016-01-02 12:00:00,None,269.82,4236
2016-01-02 13:00:00,None,272.08,4426
2016-01-02 14:00:00,None,272.325,4470
2016-01-02 15:00:00,None,272.57,4513
2016-01-02 16:00:00,None,272.095,4506
2016-01-02 17:00:00,None,271.62,4498
2016-01-02 18:00:00,None,270.78999999999996,3823
2016-01-02 19:00:00,None,269.96,3148
2016-01-02 20:00:00,None,269.655,2898
2016-01-02 21:00:00,None,269.35,2649
2016-01-02 22:00:00,None,269.15,2552
2016-01-02 23:00:00,None,269.56,1830
2016-01-03 00:00:00,None,269.89,931
2016-01-03 01:00:00,None,270.26,633
2016-01-03 02:00:00,None,270.25,646
2016-01-03 03:00:00,None,270.24,659
2016-01-03 04:00:00,None,270.225,632
2016-01-03 05:00:00,None,270.21,606
2016-01-03 06:00:00,None,270.15999999999997,976
2016-01-03 07:00:00,None,270.11,1347
2016-01-03 08:00:00,None,270.115,1916
2016-01-03 09:00:00,None,270.12,2484
2016-01-03 10:00:00,None,270.4,2885
2016-01-03 11:00:00,None,270.68,3286
2016-01-03 12:00:00,None,270.96,3755
2016-01-03 13:00:00,None,270.97,4062
2016-01-03 14:00:00,None,270.98,4369
2016-01-03 15:00:00,None,271.05,4210
2016-01-03 16:00:00,None,271.12,4052
2016-01-03 17:00:00,None,270.66499999999996,3665
2016-01-03 18:00:00,None,270.21,3278
2016-01-03 19:00:00,None,269.42999999999995,2546
2016-01-03 20:00:00,None,268.65,1813
2016-01-03 21:00:00,None,267.975,1614
2016-01-03 22:00:00,None,267.3,1415
2016-01-03 23:00:00,None,266.33000000000004,946
2016-01-04 00:00:00,None,265.36,476
2016-01-04 01:00:00,None,264.435,373
2016-01-04 02:00:00,None,263.51,270
2016-01-04 03:00:00,None,261.64,410
2016-01-04 04:00:00,None,261.09000000000003,1541
2016-01-04 05:00:00,None,260.54,2672
2016-01-04 06:00:00,None,259.91,5532
2016-01-04 07:00:00,None,259.25,6234
2016-01-04 08:00:00,None,258.93,5670
2016-01-04 09:00:00,None,261.23,4637
2016-01-04 10:00:00,None,263.24,4057
2016-01-04 11:00:00,None,265.88,4235
2016-01-04 12:00:00,None,267.15999999999997,4451
2016-01-04 13:00:00,None,268.44,4667
2016-01-04 14:00:00,None,268.56,5142
2016-01-04 15:00:00,None,268.68,5618
2016-01-04 16:00:00,None,267.90999999999997,5836
2016-01-04 17:00:00,None,267.14,6053
2016-01-04 18:00:00,None,266.44,4444
2016-01-04 19:00:00,None,265.74,2834
2016-01-04 20:00:00,None,265.83500000000004,2368
2016-01-04 21:00:00,None,265.93,1902
2016-01-04 22:00:00,None,266.26,1389
2016-01-04 23:00:00,None,266.235,939
2016-01-05 00:00:00,None,266.21,489
2016-01-05 01:00:00,None,266.66,351
2016-01-05 02:00:00,None,266.765,330
2016-01-05 03:00:00,None,266.87,309
2016-01-05 04:00:00,None,267.65,1500
2016-01-05 05:00:00,None,268.43,2692
2016-01-05 06:00:00,None,268.11,5734
2016-01-05 07:00:00,None,267.86,6525
2016-01-05 08:00:00,None,267.61,5762
2016-01-05 09:00:00,None,268.29,4836
2016-01-05 10:00:00,None,269.51,4166
2016-01-05 11:00:00,None,270.395,4418
2016-01-05 12:00:00,None,271.28,4671
2016-01-05 13:00:00,None,271.83,4708
2016-01-05 14:00:00,None,271.9,5188
2016-01-05 15:00:00,None,271.71,5838
2016-01-05 16:00:00,None,271.52,6487
2016-01-05 17:00:00,None,270.85,5396
2016-01-05 18:00:00,None,270.18,4306
2016-01-05 19:00:00,None,269.73,3399
2016-01-05 20:00:00,None,269.28,2492
2016-01-05 21:00:00,None,269.43499999999995,1962
2016-01-05 22:00:00,None,269.59,1432
2016-01-05 23:00:00,None,270.24,972
2016-01-06 00:00:00,None,270.7,757
